,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
62,510391017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
65,510391383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,510391384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,510391389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
68,510391394,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7
69,510391397,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5
70,510401002,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
71,510401003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,510401008,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,7
73,510401009,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10
74,510401013,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
75,510420001,21,0,0,0,0,28,0,0,0,0,5,0,5,3,0,0,63
76,510421040,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
77,510421042,6,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,31
78,510421043,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,23
79,510421046,18,0,0,0,0,28,5,0,0,0,4,0,12,12,0,0,78
80,510421059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,510421060,0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,0,24
82,510421072,11,0,0,0,0,18,0,0,0,0,0,0,0,9,0,0,32
83,510421074,0,0,0,0,0,27,0,0,0,0,0,0,3,0,0,0,31
84,510421110,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10
85,510431007,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,17
86,510431016,0,0,0,0,0,10,0,0,0,0,0,0,4,3,0,0,18
87,510431018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
88,510431025,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
89,510431028,29,0,0,0,0,11,3,0,0,0,0,0,11,10,0,0,63
90,510431034,9,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,24
91,510431381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,510431390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,512950001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,512950002,9,0,0,0,0,4,0,0,0,0,0,0,3,6,0,0,20
95,512950003,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
96,512950004,6,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,15
97,512950005,7,0,0,0,0,17,0,0,0,0,0,0,0,6,0,0,32
98,512950006,39,0,0,0,0,55,0,0,0,0,0,0,3,16,0,0,109
99,512950007,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
100,512950008,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12
101,512950009,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
102,512950010,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14
103,512950011,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15
104,512950012,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,10
105,512950013,20,0,0,0,0,21,4,0,0,0,0,0,8,8,0,0,67
106,512950014,28,0,0,0,0,56,5,0,0,0,4,0,12,46,0,0,155
107,512960001,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,17
108,512960002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
109,512960003,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8
110,512960004,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
111,512960005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,512960006,21,0,0,0,0,31,0,0,0,0,0,0,0,10,0,0,62
113,512960007,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
114,512960008,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
115,512960009,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
116,512960010,11,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,17
117,512960011,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,17
118,512960012,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,23
119,512960013,5,0,0,0,0,12,0,0,0,0,3,0,4,15,0,0,50
120,512970001,23,0,0,0,4,34,4,0,0,0,0,5,10,17,0,0,98
121,512970002,22,0,0,0,0,13,5,0,0,0,0,0,4,0,0,0,39
122,512970003,8,0,0,0,0,12,3,0,0,0,0,0,6,9,0,0,37
123,512970004,5,0,0,0,0,21,0,0,0,0,5,0,3,0,0,0,34
124,512970005,3,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,16
125,512970006,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10
126,512970007,40,0,0,0,0,21,4,0,0,0,0,0,0,10,3,0,84
